paper_id,transE_score,year
NOVEL_SA_65,13.783262252807617,2021.0
NOVEL_SA_66,14.046516418457031,2021.0
NOVEL_SA_67,13.908366203308105,2021.0
NOVEL_SA_69,12.5497407913208,2021.0
NOVEL_SUM_3,13.774922370910645,2021.0
NOVEL_SUM_6,12.832974433898926,2021.0
NOVEL_SUM_7,13.64223575592041,2021.0
NOVEL_SUM_8,13.920326232910156,2021.0
NOVEL_SUM_10,14.053773880004883,2021.0
NOVEL_SUM_11,13.888797760009766,2021.0
NOVEL_SUM_12,12.689470291137695,2021.0
NOVEL_SUM_13,14.044808387756348,2021.0
NOVEL_SUM_14,13.923666954040527,2021.0
NOVEL_SUM_15,12.712078094482422,2021.0
NOVEL_SUM_16,13.737706184387207,2021.0
NOVEL_SUM_17,13.691211700439453,2021.0
NOVEL_SUM_19,13.886263847351074,2021.0
NOVEL_SUM_20,13.65321159362793,2021.0
NOVEL_SUM_21,12.585718154907227,2021.0
NOVEL_SUM_22,13.809306144714355,2021.0
NOVEL_SUM_23,12.486324310302734,2021.0
NOVEL_SUM_24,12.632640838623047,2021.0
NOVEL_SUM_26,14.221933364868164,2021.0
