paper_id,n_triples,mean_dist,min_dist,max_dist,std_dist,pct_unseen_entity,pct_unseen_pred,transe_unexpectedness
NOVEL_MT_190,83,2.0957177,1.4764103,2.7975962,0.4692048,0.0,0.0,0.5811949
NOVEL_MT_192,50,2.0550494,1.4955822,2.745336,0.5050365,0.0,0.0,0.5402574
NOVEL_MT_193,41,2.0826077,1.4776038,2.685603,0.48288444,0.0,0.0,0.5679982
NOVEL_MT_198,228,2.1054914,1.4608041,2.8635106,0.4695288,0.0,0.0,0.59103334
NOVEL_MT_2,132,2.0625877,1.430577,2.7722669,0.48393092,0.0,0.0,0.5478456
NOVEL_MT_202,117,2.1211193,1.3512427,2.740372,0.47249958,0.0,0.0,0.6067647
NOVEL_MT_205,137,2.0854564,1.5041159,2.7270458,0.4519225,0.0,0.0,0.57086563
NOVEL_MT_207,102,2.195776,1.5300453,2.784322,0.48414826,0.0,0.0,0.68191564
NOVEL_MT_208,274,2.0276794,1.4544874,2.7767696,0.45008025,0.0,0.0,0.5127062
NOVEL_MT_209,151,2.0052629,1.4054285,2.7233644,0.46569434,0.0,0.0,0.4901412
NOVEL_MT_21,25,2.2012813,1.4723841,2.7034461,0.47395334,0.0,0.0,0.6874574
NOVEL_MT_210,230,1.9738958,1.2222276,2.8914206,0.46316254,0.0,0.0,0.4585665
NOVEL_MT_213,128,2.0998085,1.5148196,2.8345006,0.47711673,0.0,0.0,0.5853128
NOVEL_MT_214,24,2.1943545,1.4806013,2.7826686,0.5183933,0.0,0.0,0.6804848
NOVEL_MT_215,165,2.0231314,1.3775065,2.7382164,0.47627315,0.0,0.0,0.50812805
NOVEL_MT_218,131,2.1139193,1.4461317,2.7401183,0.47090587,0.0,0.0,0.599517
NOVEL_MT_219,155,2.0289555,1.4188812,2.88929,0.46779165,0.0,0.0,0.5139907
NOVEL_MT_221,167,2.0872424,1.4303023,2.8129938,0.48772877,0.0,0.0,0.5726635
NOVEL_MT_224,134,2.01783,1.4105462,2.6903083,0.47768342,0.0,0.0,0.50279146
NOVEL_MT_227,169,2.0742452,1.3486302,2.8552089,0.49350068,0.0,0.0,0.55958027
NOVEL_MT_228,166,2.140721,1.4693427,2.8458486,0.4588764,0.0,0.0,0.62649626
NOVEL_MT_23,222,2.0964463,1.4382442,2.8317435,0.47315416,0.0,0.0,0.5819283
NOVEL_MT_230,190,2.115233,1.3730978,2.8245072,0.49093106,0.0,0.0,0.6008394
NOVEL_MT_234,75,2.3254235,1.4344826,2.7589533,0.42325318,0.0,0.0,0.81242144
NOVEL_MT_235,47,2.1881914,1.4604123,2.8226228,0.4966974,0.0,0.0,0.6742808
NOVEL_MT_236,154,2.0497122,1.4759344,2.7549806,0.47766548,0.0,0.0,0.5348848
NOVEL_MT_238,126,2.0025644,1.5085834,2.815017,0.46972808,0.0,0.0,0.48742494
NOVEL_MT_24,85,2.0508814,1.4720219,2.743597,0.40245965,0.0,0.0,0.53606176
NOVEL_MT_243,153,1.9924005,1.473332,2.7713935,0.4705914,0.0,0.0,0.47719374
NOVEL_MT_244,117,2.0658517,1.4709164,2.6906922,0.45978254,0.0,0.0,0.5511312
NOVEL_MT_245,95,2.002899,1.2738589,2.8006942,0.45802876,0.0,0.0,0.48776165
NOVEL_MT_246,75,1.8608162,1.4652233,2.777984,0.40539226,0.0,0.0,0.3447383
NOVEL_MT_247,165,2.008853,1.4377716,2.7363422,0.45227173,0.0,0.0,0.4937551
NOVEL_MT_25,141,2.0448873,1.465218,2.730186,0.46109977,0.0,0.0,0.530028
